Hospital,Latitude,Longitude
The Alfred,-37.845612289147745,144.98187643728176
Royal Melbourne Hospital,-37.80262360442828,144.96173916536713
Caulfield General Medical Centre,-37.880089505921475,145.02441076194694
Monash Medical Centre (Moorabbin),-37.92032482993266,145.0634487962696
Western Hospital (Footscray),-37.79201824899151,144.88719630204199
Broadmeadows Health Service,-37.68440655553534,144.91233854528704
Rosebud Hospital,-38.36138632780765,144.88472561012955
Frankston Hospital,-38.15040781435954,145.12994966371912
Dandenong Hospital,-37.97616185102236,145.219651817351
Sandringham and District Memorial Hospital,-37.960541512601445,145.01785345161932
Maroondah Hospital,-37.80659538416403,145.25453896881348
Craigieburn Health Service,-37.59532980853025,144.91994637916665
St Vincent's Hospital,-37.804611445718436,144.97472872246814
Monash Medical Centre (Clayton),-37.92011584938465,145.12228465492174
